                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.78278,                0.43657,                 1.0633,                0.91022,                0.93119,                0.94172,                0.74699,                0.94566,                0.45787,                 1.1579,             0.00014702,             0.00014702,             0.00014702
                     55,                0.77488,                0.43069,                 1.0585,                0.92373,                0.93054,                0.93762,                0.74189,                0.95048,                 0.4535,                 1.1696,             0.00014402,             0.00014402,             0.00014402
                     56,                0.77851,                0.42971,                 1.0546,                 0.9141,                0.93329,                 0.9393,                0.75393,                0.94168,                0.45213,                  1.154,             0.00014102,             0.00014102,             0.00014102
                     57,                0.76671,                0.42111,                 1.0543,                0.90899,                 0.9326,                0.94039,                0.74836,                0.94338,                0.44519,                 1.1695,             0.00013802,             0.00013802,             0.00013802
                     58,                0.76733,                0.42191,                 1.0572,                0.92223,                0.92468,                0.94229,                0.75495,                0.94243,                 0.4391,                 1.1718,             0.00013502,             0.00013502,             0.00013502
                     59,                0.76159,                0.41818,                  1.053,                0.90165,                0.93592,                  0.941,                0.75297,                0.94539,                0.45083,                 1.1677,             0.00013202,             0.00013202,             0.00013202
                     60,                0.75848,                0.41933,                 1.0514,                0.91166,                0.92412,                0.93793,                0.74702,                0.93755,                0.44605,                  1.168,             0.00012902,             0.00012902,             0.00012902
                     61,                0.75448,                0.41612,                 1.0486,                0.92045,                0.92336,                0.93576,                0.75369,                0.93642,                0.45383,                 1.1598,             0.00012602,             0.00012602,             0.00012602
                     62,                0.75054,                0.41322,                 1.0461,                0.91958,                0.92121,                0.93929,                0.75528,                0.93581,                0.44413,                 1.1653,             0.00012302,             0.00012302,             0.00012302
                     63,                0.74241,                0.40762,                 1.0403,                0.91965,                0.92576,                0.94673,                0.75766,                0.93248,                0.44493,                 1.1504,             0.00012002,             0.00012002,             0.00012002
                     64,                0.74323,                0.40799,                 1.0382,                0.92135,                0.92386,                0.93875,                0.74958,                0.94288,                0.44876,                 1.1608,             0.00011702,             0.00011702,             0.00011702
                     65,                0.74185,                0.40845,                 1.0393,                0.91328,                0.93897,                0.94474,                0.75349,                 0.9393,                0.44458,                 1.1656,             0.00011402,             0.00011402,             0.00011402
                     66,                 0.7348,                0.40202,                 1.0363,                0.92825,                0.93448,                0.94405,                0.75193,                0.94262,                0.43657,                 1.1746,             0.00011102,             0.00011102,             0.00011102
                     67,                0.72764,                0.39913,                  1.035,                0.92572,                0.92895,                0.94241,                 0.7568,                0.93689,                0.44057,                 1.1717,             0.00010802,             0.00010802,             0.00010802
                     68,                 0.7268,                0.39577,                 1.0344,                0.92541,                0.92497,                0.94366,                0.76105,                0.94495,                0.43677,                  1.176,             0.00010502,             0.00010502,             0.00010502
                     69,                0.71914,                0.39155,                 1.0298,                0.93108,                0.91918,                0.94349,                0.75197,                0.94571,                0.43622,                 1.1761,             0.00010202,             0.00010202,             0.00010202
                     70,                0.72407,                0.39479,                 1.0357,                 0.9207,                0.92482,                0.94823,                0.75616,                0.95512,                0.44018,                 1.1807,              9.902e-05,              9.902e-05,              9.902e-05
                     71,                0.71985,                0.38707,                 1.0279,                0.91383,                0.92868,                0.94692,                 0.7581,                0.95131,                0.43618,                 1.1786,             9.6021e-05,             9.6021e-05,             9.6021e-05
                     72,                0.71629,                0.38816,                 1.0304,                0.92846,                0.92625,                0.94686,                0.75305,                0.94873,                0.44234,                 1.1844,             9.3021e-05,             9.3021e-05,             9.3021e-05
                     73,                0.71455,                0.38789,                 1.0289,                0.92385,                0.92549,                0.94007,                0.74709,                0.95087,                0.44785,                 1.1892,             9.0021e-05,             9.0021e-05,             9.0021e-05
                     74,                0.70298,                0.38371,                 1.0243,                0.91963,                0.92813,                0.94008,                0.75142,                0.95215,                0.44543,                 1.1859,             8.7022e-05,             8.7022e-05,             8.7022e-05
                     75,                0.70691,                0.38721,                 1.0281,                0.92549,                0.92019,                0.94264,                0.75663,                0.94007,                0.44175,                 1.1746,             8.4022e-05,             8.4022e-05,             8.4022e-05
                     76,                0.69507,                0.37944,                 1.0207,                0.91811,                0.93301,                0.94487,                0.75917,                0.94347,                0.44253,                  1.184,             8.1022e-05,             8.1022e-05,             8.1022e-05
