                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.66836,                0.32495,                0.95136,                0.98894,                0.97492,                0.99207,                0.82903,                0.74054,                0.27546,                0.97117,               0.004852,               0.004852,               0.004852
                     55,                0.66527,                0.32081,                0.95298,                0.99042,                0.97426,                0.99166,                0.82935,                0.74747,                0.27316,                0.98162,               0.004753,               0.004753,               0.004753
                     56,                0.66238,                0.32125,                0.94955,                0.98672,                0.98052,                0.99269,                0.82783,                0.75024,                 0.2712,                0.97526,               0.004654,               0.004654,               0.004654
                     57,                0.65985,                0.32156,                0.95202,                0.99126,                 0.9727,                 0.9929,                0.82838,                 0.7456,                0.26892,                 0.9757,               0.004555,               0.004555,               0.004555
                     58,                0.65434,                0.31604,                0.94707,                  0.988,                0.97859,                0.99306,                0.82805,                0.74558,                0.26816,                 0.9763,               0.004456,               0.004456,               0.004456
                     59,                0.65249,                0.31538,                0.94797,                0.98664,                0.97475,                0.99248,                0.82935,                0.74595,                0.26797,                0.98225,               0.004357,               0.004357,               0.004357
                     60,                 0.6459,                0.31443,                0.94649,                0.98798,                0.97697,                0.99294,                0.83039,                0.74487,                0.26875,                0.98386,               0.004258,               0.004258,               0.004258
                     61,                0.64749,                0.31426,                0.95153,                 0.9893,                0.97632,                0.99198,                0.83073,                0.74459,                0.26998,                0.98572,               0.004159,               0.004159,               0.004159
                     62,                0.63971,                0.31008,                  0.947,                0.98933,                0.97958,                0.99238,                0.82972,                 0.7453,                0.26862,                0.98971,                0.00406,                0.00406,                0.00406
                     63,                0.63527,                0.30853,                0.94215,                0.99067,                0.98154,                0.99306,                0.82688,                0.74722,                0.26602,                0.99257,               0.003961,               0.003961,               0.003961
                     64,                 0.6303,                0.30386,                0.93879,                0.98952,                0.97822,                0.99238,                 0.8271,                 0.7493,                0.26648,                0.99258,               0.003862,               0.003862,               0.003862
                     65,                0.62983,                0.30539,                0.93698,                0.98933,                0.97946,                0.99186,                0.82721,                0.74919,                0.26817,                0.98861,               0.003763,               0.003763,               0.003763
                     66,                0.62095,                0.30109,                0.93141,                0.98997,                0.97742,                0.99235,                0.82704,                0.74839,                0.26784,                0.97997,               0.003664,               0.003664,               0.003664
                     67,                0.62215,                0.29921,                0.93489,                0.98999,                0.97873,                0.99281,                0.82662,                0.74739,                0.26672,                0.97845,               0.003565,               0.003565,               0.003565
                     68,                0.62129,                0.29987,                0.93218,                0.98932,                0.97809,                 0.9924,                0.82806,                0.74479,                0.26426,                 0.9736,               0.003466,               0.003466,               0.003466
                     69,                0.61416,                0.29641,                0.93232,                 0.9884,                0.97888,                0.99221,                0.82903,                 0.7437,                0.26391,                  0.974,               0.003367,               0.003367,               0.003367
                     70,                0.61048,                0.29457,                0.93459,                0.98941,                0.97954,                0.99253,                0.82961,                0.74513,                0.26372,                0.97843,               0.003268,               0.003268,               0.003268
                     71,                0.60485,                0.29118,                0.92959,                0.98765,                0.97888,                0.99161,                0.82938,                0.74737,                0.26313,                0.98138,               0.003169,               0.003169,               0.003169
                     72,                0.60212,                0.29118,                0.92805,                0.98652,                0.97954,                0.99068,                0.82849,                0.74866,                0.26236,                0.98063,                0.00307,                0.00307,                0.00307
                     73,                0.59844,                0.28875,                0.92276,                0.98997,                0.97706,                0.99214,                0.82787,                0.74903,                0.26217,                0.97954,               0.002971,               0.002971,               0.002971
                     74,                0.59572,                0.28636,                0.92508,                0.99064,                0.97828,                0.99256,                0.82881,                0.75002,                0.26171,                0.98022,               0.002872,               0.002872,               0.002872
                     75,                0.59033,                0.28409,                0.92226,                0.98901,                0.97954,                0.99251,                0.82889,                0.75065,                0.26085,                0.98036,               0.002773,               0.002773,               0.002773
                     76,                0.58844,                0.28406,                0.91568,                0.98934,                0.98006,                0.99259,                0.82832,                0.75121,                0.26038,                0.97598,               0.002674,               0.002674,               0.002674
                     77,                0.58903,                0.28395,                0.92146,                0.98871,                0.97822,                 0.9925,                0.82757,                0.75139,                 0.2603,                0.97573,               0.002575,               0.002575,               0.002575
