                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.1394,                0.63385,                 1.2531,                0.88654,                0.91959,                0.92858,                0.64979,                 1.0786,                0.64383,                   1.31,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.1271,                 0.6389,                 1.2618,                0.87123,                0.91564,                0.93622,                0.64259,                 1.0969,                0.69136,                 1.3421,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.1393,                0.65674,                 1.2887,                0.89377,                0.93348,                0.92718,                0.64766,                 1.0573,                0.68658,                 1.2883,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.1332,                 0.6558,                 1.2424,                0.90643,                0.93348,                0.91559,                0.65336,                 1.0721,                0.62779,                  1.289,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.1501,                0.62833,                 1.2617,                0.89534,                0.93348,                0.92148,                0.65224,                 1.0703,                0.61984,                 1.3018,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.1371,                0.64794,                 1.2668,                0.90279,                0.89401,                0.92275,                0.65372,                 1.0364,                0.58691,                 1.2806,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.0797,                0.63697,                 1.2312,                0.89928,                0.93348,                 0.9094,                0.63332,                 1.0598,                 0.6009,                 1.2834,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.0576,                0.63181,                 1.2045,                0.89669,                0.88882,                0.94471,                 0.6401,                 1.1011,                0.63957,                 1.2908,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.0739,                 0.6388,                 1.2277,                0.89988,                 0.9057,                0.94299,                0.65509,                 1.0579,                0.60637,                 1.2802,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.1144,                0.61584,                 1.2481,                0.91523,                0.93348,                0.93644,                0.66055,                 1.0605,                0.58042,                 1.2848,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.0567,                0.57951,                 1.1824,                0.91489,                0.93348,                0.93368,                0.65713,                 1.0963,                 0.5969,                 1.3495,             0.00072631,             0.00072631,             0.00072631
                     60,                   1.08,                0.58346,                 1.2455,                0.92026,                0.93348,                0.94028,                0.65891,                 1.0748,                0.57501,                 1.3109,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.0526,                0.58544,                  1.214,                0.92538,                0.93348,                0.94196,                0.66216,                 1.0446,                0.56195,                 1.2732,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.0116,                0.58619,                 1.1956,                0.92543,                0.93002,                0.94162,                0.66257,                  1.058,                0.56182,                 1.2713,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.1151,                0.57274,                 1.2661,                 0.9103,                0.93348,                0.90364,                 0.6097,                 1.1067,                0.58625,                  1.315,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.1014,                0.59474,                 1.2545,                0.90059,                0.93348,                0.92602,                0.64812,                 1.0476,                0.57552,                 1.3083,              0.0006438,              0.0006438,              0.0006438
                     65,                  1.095,                0.58192,                 1.2208,                  0.903,                0.93348,                0.94632,                 0.6649,                 1.0384,                0.54793,                 1.3062,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.0315,                0.52311,                 1.1969,                0.91754,                0.93348,                0.94144,                0.66209,                 1.0439,                0.55825,                 1.2879,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.0345,                0.58973,                 1.2112,                0.92604,                0.93348,                0.93835,                0.66774,                 1.0685,                0.59212,                 1.2755,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.0213,                0.59236,                 1.1651,                0.92237,                0.92433,                0.94528,                0.68092,                 1.0497,                0.60344,                 1.2659,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.0363,                0.59466,                 1.2058,                0.92351,                0.92038,                0.94486,                0.66826,                 1.0511,                0.60189,                 1.2715,             0.00056128,             0.00056128,             0.00056128
                     70,                0.99259,                0.55964,                 1.1808,                0.91944,                 0.9057,                0.94298,                0.66888,                 1.0346,                0.57994,                 1.2602,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.0465,                0.56062,                 1.2231,                0.90926,                 0.9057,                0.93475,                0.66618,                 1.0653,                0.61049,                 1.2732,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.0288,                0.56699,                 1.2099,                0.89192,                0.91027,                0.91806,                0.64383,                 1.0556,                0.60022,                 1.2651,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.0144,                0.56357,                 1.1756,                0.89003,                0.93348,                0.92267,                0.65439,                 1.0561,                0.58532,                 1.2662,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.0231,                0.55916,                 1.2002,                0.87739,                0.93348,                0.93121,                0.65126,                 1.0657,                0.57247,                 1.2735,             0.00047876,             0.00047876,             0.00047876
                     75,                   1.02,                0.57333,                 1.1672,                0.88768,                0.93348,                 0.9276,                0.65053,                 1.0748,                0.58276,                 1.2864,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.0216,                0.54531,                 1.1913,                0.90562,                0.93348,                0.92771,                0.65054,                 1.0703,                0.56457,                 1.2926,             0.00044576,             0.00044576,             0.00044576
                     77,                0.98719,                0.55276,                 1.1591,                0.91848,                0.93348,                0.92834,                0.65718,                 1.0651,                0.56048,                 1.2917,             0.00042925,             0.00042925,             0.00042925
                     78,                0.99405,                0.51709,                 1.1615,                0.91994,                0.92773,                0.93964,                0.67132,                 1.0484,                0.54606,                 1.2842,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.0564,                0.54753,                 1.2254,                0.90878,                0.90294,                0.94271,                0.67308,                 1.0349,                 0.5394,                 1.2804,             0.00039625,             0.00039625,             0.00039625
